StatoLimite,TR,ag,F0,Tc,SS,CC
SLO,60,0.0810636363636363,2.3311727272727274,0.3127727272727272,1.2,1.3878639970256128
SLD,101,0.1059,2.3491,0.3307,1.2,1.3724794362633221
SLV,949,0.281108,2.435534,0.3914444,1.1261407633312,1.326962556247616
SLC,1950,0.357535,2.47079,0.418695,1.0466424389399998,1.309221504716123
