StatoLimite,TR,ag,F0,Tc,SS,CC
SLO,60,0.0810264976396959,2.33115120584268,0.3127696023971164,1.2,1.3878667702394998
SLD,101,0.1058930167699281,2.349092938600885,0.3307297825060457,1.2,1.3724547167782843
SLV,949,0.2811346228485974,2.435559970721306,0.3914518417894602,1.1261119064824499,1.3269575109010348
SLC,1950,0.3575217957273871,2.4708138875255767,0.4186683837909769,1.0466520728094757,1.3092381506480752
